id,name
1,Aberdeen
2,Aghavnadzor
3,Agios Dimitrios
4,agw
5,Aix-en-Provence
6,Akbarbd
7,Al Manrah
8,Al Matn
9,Al Muharraq
10,Alasmalang
11,Albania
12,Albina
13,Alcaldedaz
14,Alegria
15,Aleksandrw
16,Alexandropoli
17,Algarrobo
18,Alice
19,Alimono
20,Aliuroba
21,Almeirim
22,Almere Stad
23,Alor Setar
24,Altanbulag
25,Altona
26,Ambarakaraka
27,Ambulong
28,Amiens
29,Amparo
30,Anabar
31,Annonay
32,Antiguo Cuscatln
33,Antofagasta
34,Anvra
35,Apuri
36,Arcoverde
37,Arganil
38,Argentan
39,Arnaa
40,arnw
41,Arqran
42,Arras
43,Arvika
44,Atar
45,Atlanta
46,Aulnay-sous-Bois
47,Auxerre
48,Ayn al Bay
49,Aytos
50,Baddomalhi
51,Baihe
52,Baimi
53,Baiqi
54,Baiquan
55,Bairro
56,Baitu
57,Baiyang
58,Bajera
59,Bajia
60,Balai
61,Balangiga
62,Balingcanaway
63,Ballitoville
64,Balyqshy
65,Bambali
66,Ban Kruat
67,Bang Khon Thi
68,Banjar Buahan
69,Banjar Pande
70,Baoquan
71,Barbacoas
72,Basa
73,Bashan
74,Bato
75,Batojaran
76,Baton Rouge
77,Bayanbulag
78,Bayt Ysh
79,Beaumont
80,Becerril
81,Begang
82,Beian
83,Beijiang
84,Bello
85,Beln
86,Belopa
87,Bemposta
88,Bensonville
89,Bergen
90,Berlin
91,Betulia
92,Bhamdon el Mhatta
93,Bianzhuang
94,Bilbays
95,Bilh
96,Bilian
97,Biryulvo
98,Bja
99,Blendis
100,Blsta
101,Boa Esperana
102,Boavista
103,Bocon
104,Bodeh
105,Boju
106,Bombardopolis
107,Borjerd
108,Bouca
109,Boulaide
110,Bourg-ls-Valence
111,Bouzov
112,Bqim as Sq
113,Brka
114,Brnit
115,Buenaventura
116,Buffalo
117,Bulualto
118,Bundoc
119,Bungbulang
120,Bunog
121,Busalangga
122,Butiama
123,Bystra
124,Bzou
125,Cabiao
126,Cabugao
127,Cacheu
128,Cachoeira
129,Cachoeira do Sul
130,Cadiz
131,Cai Doi Vam
132,Caijiapu
133,Caleta Cruz
134,Caleta Olivia
135,Calidgan
136,Caluquembe
137,Canauay
138,Capela
139,Caqu
140,Casal da Anja
141,Cascavel
142,Cavadas
143,Cceres
144,Celje
145,Centenary
146,Centre de Flacq
147,Cergy-Pontoise
148,Cha-am
149,Chandman
150,Changgai
151,Changjiangbu
152,Chanhe
153,Chanthaburi
154,Charleston
155,Chashan
156,Chekmagush
157,Chengnan
158,Chengzhong
159,Chepareria
160,Chicago
161,Chubek
162,Chuchkovo
163,Chulabhorn
164,Chunghwa
165,Church End
166,Ciguna
167,Cikandang
168,Cincinnati
169,Ciranca
170,Ciudad Bolvar
171,Ciyu
172,Clermont-Ferrand
173,Cojata
174,Colcabamba
175,Colesberg
176,Compigne
177,Concepcin de la Barranca
178,Conchucos
179,Cookshire-Eaton
180,Copa
181,Corail
182,Corrego Grande
183,Correia Pinto
184,Cortios
185,Cotabato
186,Cristalina
187,Crteil
188,Cumanacoa
189,Daba
190,Dabat
191,Daduo
192,Dahe
193,Daijiaba
194,Dalovice
195,Dami
196,Danidehe
197,Danzi
198,Darvi
199,Datong
200,Daultla
201,Dbrowice
202,Debar
203,Delmas
204,Dengfang
205,Detupia
206,Dhbn
207,Diaofeng
208,Dieppe
209,Dinghuo
210,Dole
211,Donggaocun
212,Dongjiao
213,Dongjingcheng
214,Dongmafang
215,Dongtian
216,Dongting
217,Dongyong
218,Donim
219,Dukuhmencek Lor
220,Duy Xuyn
221,Duyure
222,Dzhalka
223,East Migpulao
224,ejkovice
225,Ejmiatsin
226,El Calafate
227,Embu Guau
228,Engenheiro Beltro
229,Eqld
230,Erdao
231,Erdaocha
232,Eshan
233,Esquina
234,Estique
235,Fajes
236,Farinheiras
237,Farmington
238,Fengxian
239,Fengyan
240,Fengyuan
241,Ferkessdougou
242,Firenze
243,Florence
244,Fond du Sac
245,Fujisawa
246,Fukou
247,Futtsu
248,Fuzihe
249,Gainesville
250,Gakovo
251,Gambalidio
252,Gaohu
253,Gaojia
254,Gaoqiao
255,Gara
256,Gargalinoi
257,Garoua Boula
258,Garunggang
259,Gechuan
260,Geita
261,Genet
262,Gent
263,Getahovit
264,Girona
265,Gisiliba
266,Gjilan
267,Gllogjan
268,Glogovac
269,Godong
270,Gois
271,Gorki Vtoryye
272,Gornyye Klyuchi
273,Gowarczw
274,Gozdowo
275,Grande Prairie
276,Great Neck
277,Grebnevo
278,Greenland
279,Guadalupe
280,Guanay
281,Guanting
282,Gudang
283,Guixi
284,Gulong
285,Gulyantsi
286,Haarlem
287,Hamburg
288,Haokou
289,Haym
290,Heby
291,Hefu
292,Hekou
293,Hemanv Mstec
294,Hengjian
295,Heping
296,Herong
297,Heyin
298,Hino
299,Hitiaa
300,Hod HaSharon
301,Hongyan
302,Horta
303,Hrvatska Kostajnica
304,Hssleholm
305,Huandiqiao
306,Huangbu
307,Huangjiazhai
308,Huanglin
309,Huangzhan
310,Huashu
311,Huata
312,Huilong
313,Huishi
314,Hukou
315,Huoerqi
316,Huruta
317,Hvozdn
318,Ica
319,ielice
320,Ijebu-Ife
321,Ilihan
322,Ilmajoki
